id	title	canon	vol	no	current_layer	recommended_layer	recommended_layer_value	confidence	reason	current_note
T12n0374	大般涅槃經	T	12	374	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0375	大般涅槃經	T	12	375	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0376	佛說大般泥洹經	T	12	376	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0377	大般涅槃經後分	T	12	377	5	第5层	5	high	明确属于般若、法华、解深密、华严/十地或如来藏核心经典簇，直接构成大乘基础体系的重要经证。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0378	佛說方等般泥洹經	T	12	378	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0379	四童子三昧經	T	12	379	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0380	大悲經	T	12	380	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0381	等集眾德三昧經	T	12	381	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0382	集一切福德三昧經	T	12	382	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0383	摩訶摩耶經	T	12	383	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0384	菩薩從兜術天降神母胎說廣普經	T	12	384	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0385	中陰經	T	12	385	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0386	蓮華面經	T	12	386	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0387	大方等無想經	T	12	387	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0388	大雲無想經卷第九	T	12	388	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0389	佛垂般涅槃略說教誡經	T	12	389	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0390	佛臨涅槃記法住經	T	12	390	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0391	般泥洹後灌臘經	T	12	391	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0392	佛滅度後棺斂葬送經	T	12	392	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0393	迦葉赴佛般涅槃經	T	12	393	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T12n0394	佛入涅槃密迹金剛力士哀戀經	T	12	394	5	第7层	7	high	题名显示为宗派注疏、语录、仪轨、密教/净土/禅/天台/华严/律宗等宗派体系资料。	题名属于般若系大乘经典、释论或注疏，归第5层。
T12n0395	佛說當來變經	T	12	395	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T12n0396	佛說法滅盡經	T	12	396	5	第7层	7	medium	题名显示为汉地晚出、疑伪、佛名/咒愿/民间信仰或宗派流通经典，主要属东亚宗派与民间佛教发展阶段。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T13n0397	大方等大集經	T	13	397	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	题名属于早期或核心大乘经典及其释论/注疏，归第5层。
T13n0398	大哀經	T	13	398	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
T13n0399	寶女所問經	T	13	399	5	参考类		medium	未能确认为五大基础经典簇、成熟体系论或宗派体系核心资料，暂列参考类。	内容属于大乘经典、释经论或大乘基础体系论，归第5层。
